Function,Gene,NH4_1,NH4_2,NH4_3,NH4_average,alanine_1,alanine_2,alanine_3,alanine_average,log2FoldChange,pvalue,qvalue
hypothetical protein,HVO_C0088,12.568434,11.626462,12.056797,12.08389767,6.5981197,6.763245,5.552802,6.304722233,-5.779175433,0.000244308,0.030423981
hypothetical protein,HVO_C0055,13.99293,13.138343,13.638293,13.58985533,8.982882,9.210058,5.594035,7.928991667,-5.660863667,0.009064433,0.155006605
hypothetical protein,HVO_C0083,15.263841,14.923907,15.242928,15.14355867,10.793214,11.2140875,6.5246425,9.510648,-5.632910667,0.01994109,0.218414434
hypothetical protein,HVO_C0047,14.951106,14.469075,15.002925,14.807702,10.5620575,10.686331,6.795767,9.348051833,-5.459650167,0.013272581,0.185995876
ISH9-type transposase,HVO_C0068,13.450123,12.612737,13.033411,13.03209033,8.539904,8.465805,5.852264,7.619324333,-5.412766,0.004109726,0.110926301
hypothetical protein,HVO_C0049,14.407669,14.039849,14.325559,14.25769233,9.678994,10.068911,6.8814588,8.8764546,-5.381237733,0.005973437,0.129370361
hypothetical protein,HVO_C0031,13.19532,12.271541,12.906538,12.791133,7.8387084,8.022058,6.4326043,7.431123567,-5.360009433,0.00071955,0.06372015
hypothetical protein,HVO_C0048,15.091489,14.829014,15.205045,15.04184933,10.842951,11.317426,6.887294,9.682557,-5.359292333,0.019032646,0.217279946
conserved domain protein,HVO_C0027,14.170174,13.340142,13.8151245,13.77514683,9.368529,9.637831,6.3871617,8.464507233,-5.3106396,0.007662394,0.146043118
hypothetical protein,HVO_C0062,14.163701,13.23512,13.640302,13.67970767,9.114095,9.312815,6.792303,8.406404333,-5.273303333,0.003472151,0.106847751
hypothetical protein,HVO_C0025,13.469011,12.508037,12.935714,12.97092067,8.306244,8.252419,6.570949,7.709870667,-5.26105,0.001150704,0.077210153
"chromosome segregation protein, putative",HVO_C0081,14.171724,13.555778,14.039205,13.92223567,9.8525915,9.997386,6.2104425,8.686806667,-5.235429,0.01393529,0.187028851
hypothetical protein,HVO_C0030,13.793998,13.024798,13.576026,13.46494067,9.315583,9.391471,6.000498,8.235850667,-5.22909,0.01016372,0.163316227
hypothetical protein,HVO_C0019,12.202182,11.465753,12.043482,11.90380567,7.0001917,7.003993,6.0257473,6.676644,-5.227161667,0.000188333,0.028399767
transposase (ISH16),HVO_C0080,13.246936,12.484954,13.010034,12.91397467,8.644504,8.700515,5.815974,7.720331,-5.193643667,0.006056873,0.12955001
hypothetical protein,HVO_C0016,14.801411,13.825474,14.316768,14.314551,9.994084,10.172821,7.2889214,9.151942133,-5.162608867,0.006097747,0.12955001
hypothetical protein,HVO_C0009,13.590318,12.874952,13.319125,13.261465,9.0159855,8.988531,6.3311286,8.1118817,-5.1495833,0.004893174,0.117465653
unknown protein,HVO_C0050,14.169731,13.1300535,13.411331,13.57037183,9.209299,9.418005,6.7844977,8.470600567,-5.099771267,0.004791504,0.116427704
hypothetical protein,HVO_C0038,12.949274,12.229016,12.662347,12.61354567,8.302056,8.3830595,5.892631,7.5259155,-5.087630167,0.003806432,0.10691298
hypothetical protein,HVO_C0034,13.311484,12.539434,12.951242,12.93405333,8.31274,8.592682,6.6344857,7.8466359,-5.087417433,0.001445837,0.077210153
hypothetical protein,HVO_C0056,14.017034,13.18979,13.7019415,13.63625517,9.0701885,9.480761,7.095751,8.548900167,-5.087355,0.002781405,0.101579695
hypothetical protein,HVO_C0008,13.785915,12.840178,13.394176,13.34008967,8.902333,8.946337,6.920651,8.256440333,-5.083649333,0.002146332,0.088950376
hypothetical protein,HVO_C0011,14.185393,13.442834,13.842004,13.82341033,9.539142,9.467981,7.2630997,8.7567409,-5.066669433,0.002860052,0.101579695
ISH4-type transposase,HVO_C0064,12.395382,11.513547,12.102497,12.00380867,7.192512,7.21787,6.518587,6.976323,-5.027485667,0.00013036,0.026656064
hypothetical protein,HVO_C0085,12.462624,11.622729,12.048216,12.044523,7.467067,7.1774774,6.4343877,7.0263107,-5.0182123,0.0002138,0.028399767
hypothetical protein,HVO_C0002,13.172185,12.249564,12.714615,12.71212133,8.217028,8.3307905,6.5462575,7.698025333,-5.014096,0.001394104,0.077210153
hypothetical protein,HVO_C0023,13.712143,12.869322,13.31867,13.300045,8.90514,8.939336,7.103955,8.316143667,-4.983901333,0.001584921,0.077210153
hypothetical protein,HVO_C0089,14.325374,13.737949,14.169228,14.077517,10.038098,10.356238,6.919961,9.104765667,-4.972751333,0.010998447,0.17014773
