gene,NH4_1,NH4_2,NH4_3,alanine_1,alanine_2,alanine_3
HVO_C0088,12.568434,11.626462,12.056797,6.59812,6.763245,5.552802
HVO_C0019,12.202182,11.465753,12.043482,7.000192,7.003993,6.025747
HVO_C0064,12.395382,11.513547,12.102497,7.192512,7.21787,6.518587
HVO_C0085,12.462624,11.622729,12.048216,7.467067,7.177477,6.434388
HVO_C0006,12.455388,11.570087,11.948465,7.246925,7.602974,6.746631
HVO_C0086,12.505414,11.507238,11.956379,7.825734,7.420069,7.156729
HVO_C0033,12.904416,12.191612,12.599901,8.284887,8.467606,7.90133
HVO_C0010,14.036327,13.284721,13.735728,9.899699,9.801507,9.603037
HVO_C0051,12.843439,11.944644,12.392831,9.334582,9.244403,9.132914
HVO_C0069,14.184497,13.736238,14.159789,11.426141,10.713383,11.093818
HVO_1189,11.1756,10.991171,10.82502,13.012588,13.313786,12.923863
HVO_2678,6.06193,6.253582,6.09458,8.124022,8.165296,8.459671
HVO_2307,7.877094,8.203497,7.894734,10.333257,10.128162,10.172463
HVO_0210,6.14777,6.30009,6.696539,9.314543,9.304939,9.220126
HVO_1191,6.295128,6.785667,6.561091,9.237206,9.389383,9.719767
HVO_0083,11.173291,11.0951,11.10147,14.116187,14.308954,13.709983
HVO_0454,8.146172,8.412663,8.155741,11.571081,10.900213,11.565191
HVO_A0296,5.902236,6.030589,6.12018,9.26308,9.248134,9.273056
HVO_0086,10.915045,11.172564,11.071824,14.988153,15.046937,14.818268
HVO_0085,9.93818,10.06037,9.478624,13.932529,14.209482,13.945258
HVO_A0306,7.229101,7.046786,7.025843,12.083159,11.889889,10.994319
HVO_A0293,8.125346,8.367852,8.192428,13.745588,13.162452,12.51739
HVO_A0294,6.82125,6.720435,6.519796,12.278917,11.681499,11.458707
HVO_A0303,7.075676,6.888247,7.519834,13.075691,12.028154,11.980592
HVO_A0295,8.712564,8.256644,8.53952,14.620772,14.09144,13.30885
HVO_A0300,6.894383,7.023046,6.929528,13.079139,12.004291,12.353934
HVO_A0295A,6.793564,6.499433,6.341313,12.782877,12.013802,11.545232
HVO_A0305,5.786325,5.876558,6.025967,11.347113,11.362546,12.081568
HVO_A0301,8.343088,8.056341,8.245603,14.901562,14.652693,14.339647
HVO_A0299,7.627278,7.463942,7.980075,14.213169,14.071808,14.270577
