query,seed ortholog,evalue,score,predicted name,GO terms,KEGG KO,BiGG reactions,tax scope,eggNOGs,best Ogs,COG Cat.,eggNOG HMM Desc.
WP_013035572.1,309800.HVO_1957,4.60E-228,795.4,PAN1,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K03420,,arNOG[11],"0KRCD@eurNOG,0RFSS@halNOG,COG1222@NOG,arCOG01306@arNOG",NA|NA|NA,O,"ATPase which is responsible for recognizing, binding, unfolding and translocation of substrate proteins into the archaeal 20S proteasome core particle. Is essential for opening the gate of the 20S proteasome via an interaction with its C- terminus, thereby allowing substrate entry and access to the site of proteolysis. Thus, the C-termini of the proteasomal ATPase function like a 'key in a lock' to induce gate opening and therefore regulate proteolysis. Unfolding activity requires energy from ATP hydrolysis, whereas ATP binding alone promotes ATPase-20S proteasome association which triggers gate opening, and supports translocation of unfolded substrates (By similarity)"
WP_004064311.1,309800.HVO_0850,8.30E-222,774.6,PAN,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K03420,,arNOG[11],"0KRCD@eurNOG,0RFB3@halNOG,COG1222@NOG,arCOG01306@arNOG",NA|NA|NA,O,"ATPase which is responsible for recognizing, binding, unfolding and translocation of substrate proteins into the archaeal 20S proteasome core particle. Is essential for opening the gate of the 20S proteasome via an interaction with its C- terminus, thereby allowing substrate entry and access to the site of proteolysis. Thus, the C-termini of the proteasomal ATPase function like a 'key in a lock' to induce gate opening and therefore regulate proteolysis. Unfolding activity requires energy from ATP hydrolysis, whereas ATP binding alone promotes ATPase-20S proteasome association which triggers gate opening, and supports translocation of unfolded substrates (By similarity)"
WP_004043611.1,309800.HVO_1327,0,1397.1,CDC48C,,K13525,,arNOG[11],"0M0P0@eurNOG,0RF4Q@halNOG,COG0464@NOG,arCOG01308@arNOG",NA|NA|NA,O,cell division control protein 48
WP_004043436.1,309800.HVO_1499,7.80E-198,694.9,,,"K02769,K02770",,arNOG[11],"0M0D1@eurNOG,0RGIQ@halNOG,COG1299@NOG,arCOG10196@arNOG",NA|NA|NA,G,"PTS system, fructose subfamily, IIC subunit"
WP_004042886.1,309800.HVO_2700,0,1459.9,CDC48B,,K13525,,arNOG[11],"0KRDG@eurNOG,0RGEN@halNOG,COG0464@NOG,arCOG01308@arNOG",NA|NA|NA,O,"AAA family ATPase, CDC48 subfamily"
WP_004042269.1,309800.HVO_2380,0,1460.3,CDC48A,,K13525,,arNOG[11],"0KRDG@eurNOG,0RG7K@halNOG,COG0464@NOG,arCOG01308@arNOG",NA|NA|NA,O,"AAA family ATPase, CDC48 subfamily"
WP_004041090.1,485914.Hmuk_1862,4.00E-58,230.3,,,,,arNOG[11],"0M0WT@eurNOG,0RHQQ@halNOG,11G01@NOG,arCOG06353@arNOG",NA|NA|NA,P,Probable cobalt transporter subunit (CbtA)
WP_049941524.1,756883.Halar_2539,1.50E-29,133.7,,,,,arNOG[11],"0YUWT@NOG,arCOG03939@arNOG",NA|NA|NA,,
WP_013035204.1,675635.Psed_6318,6.30E-30,137.1,,,K07045,,bactNOG[38],"00NCQ@actNOG,08ZMY@bactNOG,COG2159@NOG",NA|NA|NA,S,amidohydrolase 2
WP_013035193.1,228908.NEQ141,7.40E-62,243.8,THSB,,,,arNOG[11],"COG0459@NOG,arCOG01257@arNOG",NA|NA|NA,O,Thermosome
WP_004044156.1,309800.HVO_0781,1.00E-148,531.2,,,K09134,,arNOG[11],"0KTDR@eurNOG,0RFVM@halNOG,COG1912@NOG,arCOG04309@arNOG",NA|NA|NA,S,NAD operon protein
WP_004041983.1,309800.HVO_2099,3.70E-146,522.7,,,,,NOG[107],COG3485@NOG,NA|NA|NA,Q,"protocatechuate 3,4-dioxygenase"
WP_004041084.1,416348.Hlac_0215,3.50E-136,490,,,K00001,,arNOG[11],"0M0I4@eurNOG,0RFSQ@halNOG,COG1063@NOG,arCOG01459@arNOG",NA|NA|NA,E,Alcohol dehydrogenase GroES domain protein
WP_004040860.1,756883.Halar_3583,4.20E-92,343.2,PAAC,,"K02609,K02611",,arNOG[11],"COG3396@NOG,arCOG04786@arNOG",NA|NA|NA,Q,phenylacetic acid
WP_081442887.1,309800.HVO_1421,1.90E-59,233.8,,,K00344,,arNOG[11],"COG0604@NOG,arCOG01458@arNOG",NA|NA|NA,C,alcohol dehydrogenase
WP_004044326.1,309800.HVO_0608,1.60E-197,693.7,,,"K00008,K00060,K18337",,arNOG[11],"0KS3T@eurNOG,0RGQY@halNOG,COG1063@NOG,arCOG01459@arNOG",NA|NA|NA,E,Alcohol dehydrogenase GroES domain protein
WP_004044229.1,309800.HVO_0707,8.00E-79,298.1,,,,,arNOG[11],"0M0C8@eurNOG,0RHJY@halNOG,COG2146@NOG,arCOG02851@arNOG",NA|NA|NA,P,Rieske 2Fe-2S
WP_004044019.1,309800.HVO_0920,2.30E-81,306.6,,,,,arNOG[11],"0KZJ5@eurNOG,0RHHP@halNOG,COG2146@NOG,arCOG02851@arNOG",NA|NA|NA,P,Rieske 2Fe-2S
WP_004043894.1,309800.HVO_1047,1.00E-177,627.9,QOR2,,K00344,,arNOG[11],"0KRYM@eurNOG,0RF9T@halNOG,COG0604@NOG,arCOG01458@arNOG",NA|NA|NA,C,NADPH quinone
WP_004043710.1,309800.HVO_1232,3.80E-108,396,,,,,arNOG[11],"0KZFW@eurNOG,0RF72@halNOG,COG2128@NOG,arCOG06151@arNOG",NA|NA|NA,S,Carboxymuconolactone decarboxylase family
WP_004043656.1,309800.HVO_1283,7.10E-187,658.3,,,,,arNOG[11],"0M0NN@eurNOG,0RG11@halNOG,COG1063@NOG,arCOG01621@arNOG",NA|NA|NA,E,alcohol dehydrogenase
WP_004043460.1,309800.HVO_1475,2.10E-112,410.2,GYY_02840,,K07579,,arNOG[11],"0KSPR@eurNOG,0RGFH@halNOG,COG2263@NOG,arCOG00910@arNOG",NA|NA|NA,J,RNA methylase
